#SMILES,glaxo_unsuitable_leads,glaxo_unsuitable_natprod,glaxo_reactive,ursu_reactive,alarmnmr,lint_blake-v2,oprea_filters,MLSMR_excluded,MLSMR_allowed,toxic,pains,passes,fails,passrate,failrate
COc1ccc(CC2(O)N3CCN=C3c3ccccc23)cc1OC,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
O=C(N1CCCCC1)c1ccccc1C(=O)C(=O)c1ccc2OCOc2c1,1,1,1,0,1,0,1,0,1,0,1,7,4,63.64,36.36
COc1ccc(CC(=O)c2ccccc2C(=O)N2CCCCC2)cc1OC,1,1,1,1,0,1,1,0,1,1,1,9,2,81.82,18.18
Clc1ccc2c(NCCCCCCCCNc3ccnc4cc(Cl)ccc34)ccnc2c1,0,1,1,1,1,0,1,0,1,1,1,8,3,72.73,27.27
OC1(Cc2ccccc2)N2CCCN=C2c2ccccc12,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
O=N(=O)c1cccc(CNC2CCN(Cc3ccc(cc3)-c3ccccc3)CC2)c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
CC(C)N1CCN(CC1)c1ccc(OCCCCN2CCN(CC2)c2cccc(Cl)c2Cl)c(c1)C(F)(F)F,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
Clc1cccc(\C=C\C(=O)Nc2ccc3nc(CN4CCCC4)ccc3c2)c1,1,1,1,0,0,0,1,0,1,0,1,6,5,54.55,45.45
Fc1ccc2nccc(Nc3cccc(c3)C(=O)NCc3cccc(c3)C#N)c2c1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
COc1cc(F)c2ncc(Cl)c(CCN3CCC(CC3)NCc3cc4OCCOc4cn3)c2c1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CCN(CCCN1CCCCC1)c1cc(C)nc(Nc2cc(C)ccc2C)n1,1,1,1,1,0,1,1,0,1,1,1,9,2,81.82,18.18
COc1ccc2nccc([C@@H](O)CN3CCC(CC3)NCc3ccc4OCCOc4c3)c2c1,1,1,1,1,0,1,1,1,1,1,0,9,2,81.82,18.18
CC(C)N1CCC(CC1)NC(=O)N1CCCN(CC1)c1ncnc2cc(sc12)-c1ccccc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CNCc1cccc2nc([nH]c12)-c1ccc(Cc2cc(Cl)ccc2OCC(C)C)o1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
Cc1c(Br)c(\C=N\O)sc1CNCCCNc1cc(=O)c2ccccc2[nH]1,1,1,1,1,0,0,1,0,1,0,1,7,4,63.64,36.36
Nc1nc(N)c2c3cnn(c3ccc2n1)S(=O)(=O)N1CCCC1,1,1,1,1,0,0,1,0,1,1,0,7,4,63.64,36.36
Cc1noc(n1)-c1ccc2CCN(CCC3CCC(CC3)NC(=O)\C=C\c3cccc(Cl)c3)CCc2c1,1,1,1,0,0,0,1,0,1,0,1,6,5,54.55,45.45
COc1ccc2nccc(N3CCN(CCNCc4ccc5OCC(=O)Nc5n4)CC3)c2c1,1,1,1,1,0,1,1,1,1,1,0,9,2,81.82,18.18
COc1ccc2nccc([C@@H](O)CN3CCC(CC3)NCc3ccc4sc(=O)[nH]c4c3)c2c1,1,1,1,1,0,1,1,1,1,1,0,9,2,81.82,18.18
ON=C1CCc2cc(ccc12)-c1nc([nH]c1-c1ccncc1)-c1cccc(OCCNCc2ccc(F)cc2)c1,1,1,1,1,0,0,1,1,1,0,0,7,4,63.64,36.36
COc1ccc2ccc(OC)c(CNCCCCCCNCc3c(OC)ccc4ccc(OC)cc34)c2c1,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
CC(C)CN1CCC(CC1)N(C)c1cc(NC(=O)c2cccc(C)c2)ccn1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CCOc1cc2ccccc2cc1CNCCCCCCNCc1cc2ccccc2cc1OCC,1,1,1,1,0,0,1,0,1,1,1,8,3,72.73,27.27
CC(C)CNCc1ccc(cc1)-c1ccccc1CNC1CCN(Cc2ccccc2)CC1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
CCC1CN(CCCn2c3ccccc3c3ccccc23)C(CC)CN1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
CC1(C)N=C(N)N=C(N)N1c1ccc(Oc2ccccc2)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
FC(F)(F)c1ccc2[nH]c(nc2c1)-c1cccc(c1)-c1ccc(CNCc2cnn(n2)-c2ccccc2)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
Cc1cc2c(\C=C\C(=O)NC3CCC(CCN4CCc5ccc(cc5CC4)C#N)CC3)cccc2[nH]1,1,1,1,0,0,0,1,0,1,0,1,6,5,54.55,45.45
CC(C)CCN1CCC(C1)Oc1cc(NC(=O)c2ccc3ncccc3c2)ccc1C,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
Fc1ccc(CN2CCC(C2)Oc2ccc(NC(=O)c3ccoc3)cc2Cl)cc1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CCCCN(Cc1cnccc1-c1ccc(Br)cc1)c1ccc(cc1)C(O)(C(F)(F)F)C(F)(F)F,1,1,1,1,0,0,1,1,1,0,0,7,4,63.64,36.36
Cc1ccnc(Nc2nc(cs2)-c2ccccn2)c1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CC(C)(CN)c1nc(c([nH]1)-c1ccncc1)-c1ccc(Br)c(O)c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
Oc1c(CN2CCC(Cc3ccccc3)CC2)cc(Cl)c2cccnc12,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
NC(=N)NN=Cc1ccc-2c(Cc3ccccc-23)c1,1,1,1,1,0,1,1,0,1,1,0,8,3,72.73,27.27
Oc1ccccc1CCNC1CCc2ccccc2C1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
COc1cccc(Cc2c(C)nc3nc(N)nc(N)c3c2C)c1,1,1,1,1,0,0,1,1,1,1,1,9,2,81.82,18.18
CCN(CC)CCCCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,1,1,1,1,0,0,1,0,1,0,1,7,4,63.64,36.36
NC(=N)c1ccc(C=Cc2ccc(cc2O)C(N)=N)cc1,1,1,1,1,0,0,1,0,1,1,0,7,4,63.64,36.36
CC(C)Nc1nc2cc(Nc3nccc(n3)N(C)c3ccc4c(C)n(C)nc4c3)ccc2n1C,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
Clc1ccc(NC(=O)Nc2cccc(CCNCc3ccccc3)c2)cc1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc3ccc4SCC(=O)Nc4n3)c2n1,1,1,1,1,0,1,1,1,1,1,1,10,1,90.91,9.09
CCCN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(Cl)cc2)CC1,1,1,1,1,1,1,1,1,1,1,1,11,0,100,0
CN(C)c1ccc(NC(=O)Nc2ccnc3ccc(Br)cc23)cc1,1,1,1,1,0,0,1,1,1,0,1,8,3,72.73,27.27
